0.00000	    4.00000	    9.33333
31.00000	    1.36217	    0.56298	    2.22127	    5.18296	    0.86624
31.20000	    1.36772	    0.56524	    2.21255	    5.16262	    0.87091
31.40000	    1.37319	    0.56747	    2.20394	    5.14252	    0.87553
31.60000	    1.37859	    0.56967	    2.19542	    5.12264	    0.88010
31.80000	    1.38391	    0.57184	    2.18699	    5.10298	    0.88461
32.00000	    1.38916	    0.57398	    2.17866	    5.08355	    0.88908
32.20000	    1.39433	    0.57609	    2.17043	    5.06434	    0.89349
32.40000	    1.39944	    0.57817	    2.16229	    5.04534	    0.89786
32.60000	    1.40447	    0.58022	    2.15424	    5.02655	    0.90217
32.80000	    1.40944	    0.58225	    2.14627	    5.00797	    0.90644
33.00000	    1.41434	    0.58424	    2.13840	    4.98960	    0.91066
33.20000	    1.41917	    0.58621	    2.13062	    4.97144	    0.91483
33.40000	    1.42394	    0.58815	    2.12291	    4.95347	    0.91896
33.60000	    1.42865	    0.59007	    2.11530	    4.93570	    0.92304
33.80000	    1.43329	    0.59196	    2.10777	    4.91812	    0.92708
34.00000	    1.43787	    0.59382	    2.10032	    4.90074	    0.93107
34.20000	    1.44238	    0.59566	    2.09295	    4.88355	    0.93501
34.40000	    1.44684	    0.59748	    2.08566	    4.86654	    0.93892
34.60000	    1.45124	    0.59927	    2.07845	    4.84971	    0.94278
34.80000	    1.45558	    0.60103	    2.07132	    4.83307	    0.94660
35.00000	    1.45987	    0.60277	    2.06426	    4.81661	    0.95037
35.20000	    1.46409	    0.60449	    2.05728	    4.80032	    0.95411
35.40000	    1.46826	    0.60619	    2.05038	    4.78421	    0.95780
35.60000	    1.47238	    0.60786	    2.04354	    4.76827	    0.96146
35.80000	    1.47644	    0.60952	    2.03678	    4.75249	    0.96507
36.00000	    1.48045	    0.61115	    2.03009	    4.73689	    0.96865
36.20000	    1.48441	    0.61276	    2.02348	    4.72144	    0.97218
36.40000	    1.48832	    0.61434	    2.01693	    4.70616	    0.97568
36.60000	    1.49218	    0.61591	    2.01045	    4.69104	    0.97914
36.80000	    1.49598	    0.61746	    2.00403	    4.67608	    0.98257
37.00000	    1.49974	    0.61899	    1.99769	    4.66127	    0.98596
37.20000	    1.50345	    0.62049	    1.99141	    4.64662	    0.98931
37.40000	    1.50712	    0.62198	    1.98519	    4.63211	    0.99262
37.60000	    1.51073	    0.62345	    1.97904	    4.61776	    0.99591
37.80000	    1.51431	    0.62490	    1.97295	    4.60355	    0.99915
38.00000	    1.51783	    0.62633	    1.96692	    4.58948	    1.00236
38.20000	    1.52131	    0.62775	    1.96095	    4.57556	    1.00554
38.40000	    1.52475	    0.62914	    1.95505	    4.56178	    1.00869
38.60000	    1.52815	    0.63052	    1.94920	    4.54814	    1.01180
38.80000	    1.53150	    0.63188	    1.94341	    4.53463	    1.01488
39.00000	    1.53481	    0.63322	    1.93769	    4.52127	    1.01793
39.20000	    1.53808	    0.63455	    1.93201	    4.50803	    1.02094
39.40000	    1.54131	    0.63586	    1.92640	    4.49492	    1.02393
39.60000	    1.54450	    0.63715	    1.92084	    4.48195	    1.02688
39.80000	    1.54765	    0.63843	    1.91533	    4.46910	    1.02981
40.00000	    1.55076	    0.63969	    1.90988	    4.45638	    1.03270
40.20000	    1.55384	    0.64094	    1.90448	    4.44379	    1.03557
40.40000	    1.55687	    0.64217	    1.89913	    4.43131	    1.03840
40.60000	    1.55987	    0.64339	    1.89384	    4.41896	    1.04121
40.80000	    1.56284	    0.64459	    1.88860	    4.40673	    1.04399
41.00000	    1.56577	    0.64578	    1.88341	    4.39461	    1.04674
41.20000	    1.56866	    0.64695	    1.87826	    4.38261	    1.04946
41.40000	    1.57152	    0.64811	    1.87317	    4.37073	    1.05215
41.60000	    1.57434	    0.64925	    1.86813	    4.35896	    1.05482
41.80000	    1.57713	    0.65038	    1.86313	    4.34730	    1.05746
42.00000	    1.57989	    0.65150	    1.85818	    4.33575	    1.06008
42.20000	    1.58262	    0.65260	    1.85328	    4.32431	    1.06266
42.40000	    1.58531	    0.65369	    1.84842	    4.31298	    1.06523
42.60000	    1.58797	    0.65477	    1.84361	    4.30176	    1.06777
42.80000	    1.59060	    0.65584	    1.83884	    4.29064	    1.07028
43.00000	    1.59320	    0.65689	    1.83412	    4.27962	    1.07277
43.20000	    1.59577	    0.65793	    1.82944	    4.26870	    1.07523
43.40000	    1.59831	    0.65896	    1.82481	    4.25789	    1.07767
43.60000	    1.60082	    0.65997	    1.82022	    4.24718	    1.08009
43.80000	    1.60330	    0.66098	    1.81567	    4.23656	    1.08248
44.00000	    1.60575	    0.66197	    1.81116	    4.22604	    1.08485
44.20000	    1.60817	    0.66295	    1.80669	    4.21561	    1.08720
44.40000	    1.61057	    0.66392	    1.80226	    4.20528	    1.08952
44.60000	    1.61294	    0.66488	    1.79788	    4.19505	    1.09182
44.80000	    1.61528	    0.66582	    1.79353	    4.18490	    1.09410
45.00000	    1.61760	    0.66676	    1.78922	    4.17485	    1.09636
45.20000	    1.61989	    0.66768	    1.78495	    4.16489	    1.09860
45.40000	    1.62215	    0.66860	    1.78072	    4.15501	    1.10081
45.60000	    1.62439	    0.66950	    1.77652	    4.14522	    1.10301
45.80000	    1.62660	    0.67040	    1.77237	    4.13552	    1.10518
46.00000	    1.62879	    0.67128	    1.76825	    4.12591	    1.10733
46.20000	    1.63096	    0.67216	    1.76416	    4.11638	    1.10947
46.40000	    1.63310	    0.67302	    1.76011	    4.10693	    1.11158
46.60000	    1.63521	    0.67388	    1.75610	    4.09756	    1.11367
46.80000	    1.63731	    0.67472	    1.75212	    4.08828	    1.11575
47.00000	    1.63938	    0.67556	    1.74817	    4.07907	    1.11780
47.20000	    1.64143	    0.67639	    1.74426	    4.06995	    1.11984
47.40000	    1.64345	    0.67721	    1.74039	    4.06090	    1.12186
47.60000	    1.64545	    0.67801	    1.73654	    4.05193	    1.12386
47.80000	    1.64744	    0.67881	    1.73273	    4.04304	    1.12584
48.00000	    1.64940	    0.67961	    1.72895	    4.03422	    1.12780
48.20000	    1.65134	    0.68039	    1.72521	    4.02548	    1.12974
48.40000	    1.65325	    0.68116	    1.72149	    4.01681	    1.13167
48.60000	    1.65515	    0.68193	    1.71781	    4.00821	    1.13358
48.80000	    1.65703	    0.68269	    1.71415	    3.99969	    1.13547
49.00000	    1.65889	    0.68343	    1.71053	    3.99124	    1.13735
49.20000	    1.66072	    0.68418	    1.70694	    3.98285	    1.13921
49.40000	    1.66254	    0.68491	    1.70337	    3.97454	    1.14105
49.60000	    1.66434	    0.68563	    1.69984	    3.96629	    1.14288
49.80000	    1.66612	    0.68635	    1.69634	    3.95812	    1.14469
50.00000	    1.66788	    0.68706	    1.69286	    3.95001	    1.14648
50.20000	    1.66962	    0.68777	    1.68941	    3.94196	    1.14826
50.40000	    1.67135	    0.68846	    1.68599	    3.93399	    1.15002
50.60000	    1.67306	    0.68915	    1.68260	    3.92607	    1.15177
50.80000	    1.67474	    0.68983	    1.67924	    3.91822	    1.15350
51.00000	    1.67642	    0.69050	    1.67590	    3.91044	    1.15521
51.20000	    1.67807	    0.69117	    1.67259	    3.90271	    1.15691
51.40000	    1.67971	    0.69183	    1.66931	    3.89505	    1.15860
51.60000	    1.68133	    0.69248	    1.66605	    3.88745	    1.16027
51.80000	    1.68293	    0.69313	    1.66282	    3.87991	    1.16193
52.00000	    1.68452	    0.69377	    1.65961	    3.87243	    1.16357
52.20000	    1.68609	    0.69440	    1.65643	    3.86501	    1.16520
52.40000	    1.68765	    0.69503	    1.65328	    3.85764	    1.16682
52.60000	    1.68919	    0.69565	    1.65014	    3.85034	    1.16842
52.80000	    1.69071	    0.69626	    1.64704	    3.84309	    1.17001
53.00000	    1.69222	    0.69687	    1.64396	    3.83590	    1.17158
53.20000	    1.69371	    0.69747	    1.64090	    3.82876	    1.17314
53.40000	    1.69519	    0.69806	    1.63786	    3.82168	    1.17469
53.60000	    1.69666	    0.69865	    1.63485	    3.81465	    1.17623
53.80000	    1.69811	    0.69924	    1.63186	    3.80768	    1.17775
