0.00000	    9.33333	    4.00000
26.80000	    0.98743	    0.50494	    5.64495	    2.41927	    0.96180
27.00000	    0.99505	    0.50796	    5.61867	    2.40800	    0.96754
27.20000	    1.00258	    0.51093	    5.59271	    2.39687	    0.97319
27.40000	    1.01003	    0.51385	    5.56705	    2.38588	    0.97876
27.60000	    1.01738	    0.51673	    5.54169	    2.37501	    0.98425
27.80000	    1.02465	    0.51957	    5.51664	    2.36427	    0.98966
28.00000	    1.03184	    0.52237	    5.49188	    2.35366	    0.99499
28.20000	    1.03894	    0.52513	    5.46742	    2.34318	    1.00025
28.40000	    1.04596	    0.52785	    5.44324	    2.33282	    1.00542
28.60000	    1.05290	    0.53052	    5.41935	    2.32258	    1.01052
28.80000	    1.05975	    0.53316	    5.39574	    2.31246	    1.01555
29.00000	    1.06653	    0.53576	    5.37241	    2.30246	    1.02050
29.20000	    1.07322	    0.53832	    5.34935	    2.29258	    1.02538
29.40000	    1.07984	    0.54085	    5.32656	    2.28281	    1.03019
29.60000	    1.08638	    0.54334	    5.30404	    2.27316	    1.03493
29.80000	    1.09284	    0.54579	    5.28178	    2.26362	    1.03960
30.00000	    1.09923	    0.54821	    5.25978	    2.25419	    1.04420
30.20000	    1.10554	    0.55059	    5.23804	    2.24487	    1.04874
30.40000	    1.11178	    0.55294	    5.21654	    2.23566	    1.05321
30.60000	    1.11795	    0.55525	    5.19530	    2.22656	    1.05762
30.80000	    1.12405	    0.55753	    5.17430	    2.21756	    1.06197
31.00000	    1.13007	    0.55978	    5.15354	    2.20866	    1.06625
31.20000	    1.13603	    0.56200	    5.13302	    2.19987	    1.07048
31.40000	    1.14191	    0.56419	    5.11274	    2.19117	    1.07464
31.60000	    1.14773	    0.56634	    5.09269	    2.18258	    1.07875
31.80000	    1.15348	    0.56847	    5.07286	    2.17408	    1.08279
32.00000	    1.15917	    0.57056	    5.05326	    2.16568	    1.08678
32.20000	    1.16479	    0.57263	    5.03388	    2.15738	    1.09072
32.40000	    1.17035	    0.57466	    5.01472	    2.14917	    1.09459
32.60000	    1.17584	    0.57667	    4.99578	    2.14105	    1.09842
32.80000	    1.18127	    0.57865	    4.97705	    2.13302	    1.10219
33.00000	    1.18664	    0.58060	    4.95852	    2.12508	    1.10591
33.20000	    1.19194	    0.58253	    4.94021	    2.11723	    1.10958
33.40000	    1.19719	    0.58443	    4.92210	    2.10947	    1.11320
33.60000	    1.20238	    0.58630	    4.90418	    2.10179	    1.11676
33.80000	    1.20751	    0.58815	    4.88647	    2.09420	    1.12028
34.00000	    1.21258	    0.58997	    4.86895	    2.08669	    1.12375
34.20000	    1.21759	    0.59177	    4.85163	    2.07927	    1.12718
34.40000	    1.22255	    0.59354	    4.83449	    2.07192	    1.13055
34.60000	    1.22745	    0.59529	    4.81754	    2.06466	    1.13389
34.80000	    1.23230	    0.59701	    4.80078	    2.05748	    1.13717
35.00000	    1.23709	    0.59872	    4.78419	    2.05037	    1.14041
35.20000	    1.24184	    0.60040	    4.76779	    2.04334	    1.14361
35.40000	    1.24652	    0.60205	    4.75156	    2.03638	    1.14677
35.60000	    1.25116	    0.60369	    4.73551	    2.02950	    1.14988
35.80000	    1.25575	    0.60530	    4.71962	    2.02270	    1.15295
36.00000	    1.26028	    0.60689	    4.70391	    2.01596	    1.15598
36.20000	    1.26477	    0.60846	    4.68836	    2.00930	    1.15898
36.40000	    1.26920	    0.61001	    4.67298	    2.00271	    1.16193
36.60000	    1.27359	    0.61154	    4.65776	    1.99618	    1.16484
36.80000	    1.27793	    0.61305	    4.64270	    1.98973	    1.16772
37.00000	    1.28223	    0.61454	    4.62780	    1.98334	    1.17055
37.20000	    1.28647	    0.61601	    4.61306	    1.97702	    1.17336
37.40000	    1.29067	    0.61746	    4.59846	    1.97077	    1.17612
37.60000	    1.29483	    0.61890	    4.58402	    1.96458	    1.17885
37.80000	    1.29894	    0.62031	    4.56973	    1.95845	    1.18154
38.00000	    1.30301	    0.62171	    4.55558	    1.95239	    1.18420
38.20000	    1.30704	    0.62308	    4.54158	    1.94639	    1.18683
38.40000	    1.31102	    0.62444	    4.52772	    1.94045	    1.18942
38.60000	    1.31496	    0.62579	    4.51401	    1.93458	    1.19198
38.80000	    1.31886	    0.62711	    4.50043	    1.92876	    1.19450
39.00000	    1.32271	    0.62842	    4.48699	    1.92300	    1.19700
39.20000	    1.32653	    0.62972	    4.47369	    1.91729	    1.19946
39.40000	    1.33031	    0.63099	    4.46052	    1.91165	    1.20189
39.60000	    1.33404	    0.63225	    4.44748	    1.90606	    1.20429
39.80000	    1.33774	    0.63350	    4.43457	    1.90053	    1.20666
40.00000	    1.34140	    0.63473	    4.42179	    1.89505	    1.20901
40.20000	    1.34503	    0.63594	    4.40913	    1.88963	    1.21132
40.40000	    1.34861	    0.63714	    4.39660	    1.88426	    1.21360
40.60000	    1.35216	    0.63833	    4.38419	    1.87894	    1.21586
40.80000	    1.35567	    0.63950	    4.37191	    1.87367	    1.21809
41.00000	    1.35915	    0.64065	    4.35974	    1.86846	    1.22029
41.20000	    1.36259	    0.64179	    4.34769	    1.86330	    1.22247
41.40000	    1.36600	    0.64292	    4.33576	    1.85818	    1.22461
41.60000	    1.36937	    0.64404	    4.32395	    1.85312	    1.22674
41.80000	    1.37270	    0.64514	    4.31224	    1.84810	    1.22883
42.00000	    1.37601	    0.64623	    4.30065	    1.84314	    1.23091
