46.20000	    4.53034	    1.86879	    3.26087	    3.01628
46.40000	    4.53063	    1.87619	    3.25153	    3.00764
46.60000	    4.53092	    1.88352	    3.24224	    2.99906
46.80000	    4.53120	    1.89080	    3.23301	    2.99052
47.00000	    4.53149	    1.89801	    3.22384	    2.98203
47.20000	    4.53178	    1.90515	    3.21472	    2.97360
47.40000	    4.53206	    1.91224	    3.20565	    2.96521
47.60000	    4.53234	    1.91926	    3.19664	    2.95687
47.80000	    4.53262	    1.92622	    3.18768	    2.94859
48.00000	    4.53290	    1.93312	    3.17878	    2.94035
48.20000	    4.53318	    1.93996	    3.16992	    2.93216
48.40000	    4.53346	    1.94673	    3.16113	    2.92402
48.60000	    4.53373	    1.95345	    3.15238	    2.91593
48.80000	    4.53401	    1.96011	    3.14369	    2.90789
49.00000	    4.53428	    1.96672	    3.13505	    2.89990
49.20000	    4.53455	    1.97326	    3.12646	    2.89196
49.40000	    4.53482	    1.97975	    3.11792	    2.88406
49.60000	    4.53509	    1.98618	    3.10944	    2.87621
49.80000	    4.53536	    1.99255	    3.10100	    2.86841
50.00000	    4.53563	    1.99887	    3.09262	    2.86066
50.20000	    4.53589	    2.00513	    3.08429	    2.85295
50.40000	    4.53615	    2.01133	    3.07601	    2.84529
50.60000	    4.53642	    2.01748	    3.06777	    2.83767
50.80000	    4.53668	    2.02358	    3.05959	    2.83011
51.00000	    4.53694	    2.02963	    3.05146	    2.82258
51.20000	    4.53720	    2.03562	    3.04338	    2.81511
51.40000	    4.53745	    2.04156	    3.03535	    2.80768
51.60000	    4.53771	    2.04744	    3.02736	    2.80029
51.80000	    4.53796	    2.05328	    3.01942	    2.79295
52.00000	    4.53822	    2.05906	    3.01154	    2.78566
52.20000	    4.53847	    2.06479	    3.00370	    2.77840
52.40000	    4.53872	    2.07047	    2.99591	    2.77120
52.60000	    4.53897	    2.07611	    2.98816	    2.76403
52.80000	    4.53922	    2.08169	    2.98046	    2.75691
53.00000	    4.53947	    2.08722	    2.97281	    2.74984
53.20000	    4.53971	    2.09271	    2.96521	    2.74280
53.40000	    4.53996	    2.09815	    2.95765	    2.73581
53.60000	    4.54020	    2.10354	    2.95014	    2.72887
53.80000	    4.54044	    2.10888	    2.94268	    2.72196
54.00000	    4.54068	    2.11418	    2.93526	    2.71510
54.20000	    4.54092	    2.11942	    2.92788	    2.70827
54.40000	    4.54116	    2.12463	    2.92055	    2.70149
54.60000	    4.54140	    2.12979	    2.91327	    2.69476
54.80000	    4.54164	    2.13490	    2.90603	    2.68806
55.00000	    4.54187	    2.13997	    2.89883	    2.68140
55.20000	    4.54211	    2.14500	    2.89167	    2.67478
55.40000	    4.54234	    2.14998	    2.88457	    2.66821
55.60000	    4.54257	    2.15491	    2.87750	    2.66167
55.80000	    4.54280	    2.15981	    2.87048	    2.65517
56.00000	    4.54303	    2.16466	    2.86349	    2.64872
56.20000	    4.54326	    2.16947	    2.85656	    2.64230
56.40000	    4.54348	    2.17424	    2.84966	    2.63592
56.60000	    4.54371	    2.17897	    2.84280	    2.62958
56.80000	    4.54393	    2.18366	    2.83599	    2.62328
57.00000	    4.54416	    2.18830	    2.82922	    2.61701
57.20000	    4.54438	    2.19291	    2.82249	    2.61079
57.40000	    4.54460	    2.19748	    2.81580	    2.60460
57.60000	    4.54482	    2.20200	    2.80915	    2.59845
57.80000	    4.54504	    2.20649	    2.80254	    2.59233
58.00000	    4.54526	    2.21094	    2.79597	    2.58625
58.20000	    4.54548	    2.21535	    2.78944	    2.58021
58.40000	    4.54569	    2.21972	    2.78295	    2.57421
58.60000	    4.54591	    2.22406	    2.77649	    2.56824
58.80000	    4.54612	    2.22836	    2.77008	    2.56231
59.00000	    4.54633	    2.23262	    2.76371	    2.55641
59.20000	    4.54654	    2.23685	    2.75737	    2.55055
59.40000	    4.54675	    2.24104	    2.75107	    2.54473
59.60000	    4.54696	    2.24519	    2.74481	    2.53894
59.80000	    4.54717	    2.24931	    2.73859	    2.53318
60.00000	    4.54738	    2.25339	    2.73240	    2.52746
60.20000	    4.54758	    2.25744	    2.72625	    2.52177
60.40000	    4.54779	    2.26146	    2.72014	    2.51611
60.60000	    4.54799	    2.26544	    2.71406	    2.51049
60.80000	    4.54819	    2.26938	    2.70802	    2.50491
61.00000	    4.54840	    2.27330	    2.70202	    2.49935
61.20000	    4.54860	    2.27718	    2.69605	    2.49383
61.40000	    4.54880	    2.28102	    2.69012	    2.48835
61.60000	    4.54899	    2.28484	    2.68422	    2.48289
61.80000	    4.54919	    2.28862	    2.67836	    2.47747
62.00000	    4.54939	    2.29237	    2.67253	    2.47208
62.20000	    4.54958	    2.29609	    2.66674	    2.46672
62.40000	    4.54978	    2.29978	    2.66098	    2.46139
62.60000	    4.54997	    2.30344	    2.65525	    2.45609
62.80000	    4.55017	    2.30706	    2.64956	    2.45083
63.00000	    4.55036	    2.31066	    2.64390	    2.44559
63.20000	    4.55055	    2.31423	    2.63828	    2.44039
63.40000	    4.55074	    2.31777	    2.63268	    2.43522
63.60000	    4.55093	    2.32127	    2.62712	    2.43008
63.80000	    4.55112	    2.32475	    2.62160	    2.42496
64.00000	    4.55130	    2.32820	    2.61610	    2.41988
64.20000	    4.55149	    2.33162	    2.61064	    2.41483
64.40000	    4.55167	    2.33501	    2.60521	    2.40980
64.60000	    4.55186	    2.33838	    2.59981	    2.40481
64.80000	    4.55204	    2.34172	    2.59444	    2.39984
65.00000	    4.55222	    2.34503	    2.58910	    2.39491
65.20000	    4.55240	    2.34831	    2.58380	    2.39000
65.40000	    4.55259	    2.35156	    2.57852	    2.38512
65.60000	    4.55276	    2.35479	    2.57328	    2.38027
65.80000	    4.55294	    2.35799	    2.56806	    2.37544
66.00000	    4.55312	    2.36117	    2.56288	    2.37065
66.20000	    4.55330	    2.36432	    2.55772	    2.36588
66.40000	    4.55347	    2.36744	    2.55260	    2.36114
66.60000	    4.55365	    2.37054	    2.54750	    2.35643
66.80000	    4.55382	    2.37362	    2.54244	    2.35174
67.00000	    4.55400	    2.37666	    2.53740	    2.34708
67.20000	    4.55417	    2.37969	    2.53239	    2.34245
67.40000	    4.55434	    2.38269	    2.52741	    2.33784
67.60000	    4.55451	    2.38566	    2.52246	    2.33326
67.80000	    4.55468	    2.38861	    2.51753	    2.32870
68.00000	    4.55485	    2.39154	    2.51264	    2.32418
68.20000	    4.55502	    2.39445	    2.50777	    2.31967
68.40000	    4.55519	    2.39733	    2.50293	    2.31519
68.60000	    4.55536	    2.40018	    2.49811	    2.31074
68.80000	    4.55552	    2.40302	    2.49333	    2.30631
69.00000	    4.55569	    2.40583	    2.48857	    2.30191
69.20000	    4.55585	    2.40862	    2.48384	    2.29753
69.40000	    4.55601	    2.41139	    2.47913	    2.29318
69.60000	    4.55618	    2.41413	    2.47445	    2.28885
69.80000	    4.55634	    2.41685	    2.46980	    2.28455
70.00000	    4.55650	    2.41955	    2.46517	    2.28027
70.20000	    4.55666	    2.42223	    2.46057	    2.27601
70.40000	    4.55682	    2.42489	    2.45599	    2.27178
70.60000	    4.55698	    2.42753	    2.45144	    2.26757
70.80000	    4.55714	    2.43015	    2.44691	    2.26338
71.00000	    4.55729	    2.43274	    2.44241	    2.25922
71.20000	    4.55745	    2.43532	    2.43794	    2.25508
