43.00000	    8.52276	    0.68923	    3.46524	    0.25738
43.20000	    8.51854	    0.69362	    3.46000	    0.25699
43.40000	    8.51433	    0.69800	    3.45477	    0.25660
43.60000	    8.51013	    0.70235	    3.44956	    0.25622
43.80000	    8.50594	    0.70668	    3.44437	    0.25583
44.00000	    8.50177	    0.71100	    3.43920	    0.25545
44.20000	    8.49761	    0.71529	    3.43404	    0.25506
44.40000	    8.49346	    0.71956	    3.42890	    0.25468
44.60000	    8.48932	    0.72381	    3.42378	    0.25430
44.80000	    8.48520	    0.72804	    3.41868	    0.25392
45.00000	    8.48108	    0.73225	    3.41360	    0.25355
45.20000	    8.47699	    0.73644	    3.40853	    0.25317
45.40000	    8.47290	    0.74060	    3.40349	    0.25279
45.60000	    8.46883	    0.74475	    3.39846	    0.25242
45.80000	    8.46477	    0.74888	    3.39345	    0.25205
46.00000	    8.46072	    0.75298	    3.38846	    0.25168
46.20000	    8.45669	    0.75707	    3.38348	    0.25131
46.40000	    8.45267	    0.76114	    3.37853	    0.25094
46.60000	    8.44866	    0.76518	    3.37359	    0.25057
46.80000	    8.44467	    0.76921	    3.36868	    0.25021
47.00000	    8.44069	    0.77321	    3.36378	    0.24985
47.20000	    8.43672	    0.77719	    3.35890	    0.24948
47.40000	    8.43277	    0.78116	    3.35403	    0.24912
47.60000	    8.42883	    0.78510	    3.34919	    0.24876
47.80000	    8.42490	    0.78902	    3.34437	    0.24840
48.00000	    8.42099	    0.79293	    3.33956	    0.24805
48.20000	    8.41709	    0.79681	    3.33477	    0.24769
48.40000	    8.41320	    0.80067	    3.33000	    0.24734
48.60000	    8.40933	    0.80452	    3.32525	    0.24698
48.80000	    8.40547	    0.80834	    3.32052	    0.24663
49.00000	    8.40162	    0.81214	    3.31581	    0.24628
49.20000	    8.39779	    0.81593	    3.31112	    0.24593
49.40000	    8.39397	    0.81969	    3.30644	    0.24559
49.60000	    8.39017	    0.82344	    3.30178	    0.24524
49.80000	    8.38638	    0.82716	    3.29715	    0.24490
50.00000	    8.38260	    0.83087	    3.29253	    0.24455
50.20000	    8.37884	    0.83455	    3.28793	    0.24421
50.40000	    8.37509	    0.83822	    3.28334	    0.24387
50.60000	    8.37135	    0.84187	    3.27878	    0.24353
50.80000	    8.36763	    0.84550	    3.27424	    0.24319
51.00000	    8.36392	    0.84911	    3.26971	    0.24286
51.20000	    8.36022	    0.85270	    3.26520	    0.24252
51.40000	    8.35654	    0.85627	    3.26071	    0.24219
51.60000	    8.35287	    0.85982	    3.25624	    0.24186
51.80000	    8.34922	    0.86336	    3.25179	    0.24153
52.00000	    8.34558	    0.86687	    3.24735	    0.24120
52.20000	    8.34195	    0.87037	    3.24293	    0.24087
52.40000	    8.33834	    0.87385	    3.23854	    0.24054
52.60000	    8.33474	    0.87731	    3.23416	    0.24022
52.80000	    8.33115	    0.88075	    3.22980	    0.23989
53.00000	    8.32758	    0.88417	    3.22545	    0.23957
53.20000	    8.32402	    0.88758	    3.22113	    0.23925
53.40000	    8.32047	    0.89096	    3.21682	    0.23893
53.60000	    8.31694	    0.89433	    3.21253	    0.23861
53.80000	    8.31342	    0.89768	    3.20826	    0.23829
54.00000	    8.30991	    0.90102	    3.20400	    0.23798
54.20000	    8.30642	    0.90433	    3.19977	    0.23766
54.40000	    8.30294	    0.90763	    3.19555	    0.23735
54.60000	    8.29948	    0.91091	    3.19135	    0.23704
54.80000	    8.29602	    0.91417	    3.18717	    0.23673
55.00000	    8.29259	    0.91742	    3.18300	    0.23642
55.20000	    8.28916	    0.92065	    3.17886	    0.23611
55.40000	    8.28575	    0.92386	    3.17473	    0.23580
