0.00000	    8.33333	    2.66667	    2.33333
44.80000	    3.22457	    1.51015	    0.93062	    1.52546	    1.33478
45.00000	    3.21879	    1.51310	    0.93304	    1.52263	    1.33230
45.20000	    3.21305	    1.51602	    0.93545	    1.51981	    1.32984
45.40000	    3.20736	    1.51891	    0.93784	    1.51703	    1.32740
45.60000	    3.20172	    1.52178	    0.94022	    1.51426	    1.32498
45.80000	    3.19612	    1.52462	    0.94257	    1.51152	    1.32258
46.00000	    3.19057	    1.52744	    0.94490	    1.50880	    1.32020
46.20000	    3.18506	    1.53022	    0.94722	    1.50610	    1.31783
46.40000	    3.17960	    1.53299	    0.94951	    1.50342	    1.31549
46.60000	    3.17418	    1.53573	    0.95179	    1.50076	    1.31317
46.80000	    3.16880	    1.53844	    0.95405	    1.49813	    1.31086
47.00000	    3.16347	    1.54113	    0.95629	    1.49551	    1.30857
47.20000	    3.15818	    1.54379	    0.95852	    1.49292	    1.30631
47.40000	    3.15293	    1.54643	    0.96072	    1.49035	    1.30405
47.60000	    3.14772	    1.54905	    0.96291	    1.48780	    1.30182
47.80000	    3.14255	    1.55164	    0.96509	    1.48526	    1.29961
48.00000	    3.13743	    1.55421	    0.96724	    1.48275	    1.29741
48.20000	    3.13234	    1.55676	    0.96938	    1.48026	    1.29523
48.40000	    3.12730	    1.55929	    0.97151	    1.47779	    1.29306
48.60000	    3.12229	    1.56179	    0.97361	    1.47533	    1.29092
48.80000	    3.11732	    1.56427	    0.97570	    1.47290	    1.28878
49.00000	    3.11239	    1.56673	    0.97778	    1.47048	    1.28667
49.20000	    3.10750	    1.56917	    0.97984	    1.46808	    1.28457
49.40000	    3.10264	    1.57159	    0.98188	    1.46570	    1.28249
49.60000	    3.09783	    1.57398	    0.98391	    1.46334	    1.28043
49.80000	    3.09305	    1.57636	    0.98592	    1.46100	    1.27838
50.00000	    3.08830	    1.57871	    0.98792	    1.45868	    1.27634
50.20000	    3.08360	    1.58105	    0.98990	    1.45637	    1.27432
50.40000	    3.07892	    1.58336	    0.99187	    1.45408	    1.27232
50.60000	    3.07429	    1.58565	    0.99382	    1.45181	    1.27033
50.80000	    3.06968	    1.58793	    0.99576	    1.44955	    1.26836
51.00000	    3.06512	    1.59019	    0.99769	    1.44731	    1.26640
51.20000	    3.06058	    1.59242	    0.99959	    1.44509	    1.26445
51.40000	    3.05608	    1.59464	    1.00149	    1.44288	    1.26252
51.60000	    3.05162	    1.59684	    1.00337	    1.44070	    1.26061
51.80000	    3.04719	    1.59902	    1.00524	    1.43852	    1.25871
52.00000	    3.04279	    1.60118	    1.00709	    1.43637	    1.25682
52.20000	    3.03842	    1.60333	    1.00894	    1.43423	    1.25495
52.40000	    3.03408	    1.60546	    1.01076	    1.43210	    1.25309
52.60000	    3.02978	    1.60757	    1.01258	    1.42999	    1.25124
52.80000	    3.02551	    1.60966	    1.01438	    1.42790	    1.24941
53.00000	    3.02126	    1.61173	    1.01617	    1.42582	    1.24759
53.20000	    3.01705	    1.61379	    1.01794	    1.42376	    1.24579
53.40000	    3.01287	    1.61583	    1.01970	    1.42171	    1.24399
53.60000	    3.00872	    1.61786	    1.02145	    1.41967	    1.24221
53.80000	    3.00460	    1.61987	    1.02319	    1.41765	    1.24045
54.00000	    3.00051	    1.62186	    1.02492	    1.41565	    1.23869
54.20000	    2.99645	    1.62384	    1.02663	    1.41366	    1.23695
54.40000	    2.99242	    1.62580	    1.02833	    1.41168	    1.23522
54.60000	    2.98842	    1.62774	    1.03002	    1.40972	    1.23351
54.80000	    2.98444	    1.62967	    1.03169	    1.40777	    1.23180
55.00000	    2.98050	    1.63158	    1.03336	    1.40584	    1.23011
55.20000	    2.97658	    1.63348	    1.03501	    1.40392	    1.22843
55.40000	    2.97269	    1.63537	    1.03666	    1.40201	    1.22676
55.60000	    2.96882	    1.63724	    1.03829	    1.40012	    1.22510
55.80000	    2.96498	    1.63909	    1.03991	    1.39823	    1.22346
56.00000	    2.96117	    1.64093	    1.04151	    1.39637	    1.22182
56.20000	    2.95739	    1.64276	    1.04311	    1.39451	    1.22020
56.40000	    2.95363	    1.64457	    1.04470	    1.39267	    1.21859
56.60000	    2.94990	    1.64636	    1.04627	    1.39084	    1.21699
56.80000	    2.94619	    1.64815	    1.04784	    1.38903	    1.21540
57.00000	    2.94251	    1.64992	    1.04939	    1.38722	    1.21382
57.20000	    2.93886	    1.65167	    1.05093	    1.38543	    1.21225
57.40000	    2.93523	    1.65342	    1.05247	    1.38365	    1.21069
57.60000	    2.93162	    1.65515	    1.05399	    1.38188	    1.20915
57.80000	    2.92804	    1.65686	    1.05550	    1.38013	    1.20761
58.00000	    2.92448	    1.65857	    1.05700	    1.37838	    1.20609
58.20000	    2.92095	    1.66026	    1.05850	    1.37665	    1.20457
58.40000	    2.91744	    1.66193	    1.05998	    1.37493	    1.20307
58.60000	    2.91396	    1.66360	    1.06145	    1.37322	    1.20157
58.80000	    2.91049	    1.66525	    1.06291	    1.37153	    1.20009
59.00000	    2.90705	    1.66689	    1.06436	    1.36984	    1.19861
59.20000	    2.90364	    1.66852	    1.06581	    1.36817	    1.19715
59.40000	    2.90024	    1.67014	    1.06724	    1.36650	    1.19569
59.60000	    2.89687	    1.67174	    1.06867	    1.36485	    1.19424
59.80000	    2.89352	    1.67333	    1.07008	    1.36321	    1.19281
60.00000	    2.89020	    1.67491	    1.07149	    1.36158	    1.19138
60.20000	    2.88689	    1.67648	    1.07288	    1.35996	    1.18996
60.40000	    2.88361	    1.67804	    1.07427	    1.35835	    1.18856
60.60000	    2.88035	    1.67959	    1.07565	    1.35675	    1.18716
60.80000	    2.87711	    1.68112	    1.07702	    1.35516	    1.18577
61.00000	    2.87389	    1.68264	    1.07838	    1.35358	    1.18439
61.20000	    2.87069	    1.68416	    1.07973	    1.35202	    1.18301
61.40000	    2.86751	    1.68566	    1.08108	    1.35046	    1.18165
61.60000	    2.86435	    1.68715	    1.08241	    1.34891	    1.18030
61.80000	    2.86121	    1.68863	    1.08374	    1.34737	    1.17895
62.00000	    2.85810	    1.69010	    1.08506	    1.34584	    1.17761
62.20000	    2.85500	    1.69156	    1.08637	    1.34433	    1.17629
62.40000	    2.85192	    1.69301	    1.08767	    1.34282	    1.17497
62.60000	    2.84886	    1.69445	    1.08896	    1.34132	    1.17365
62.80000	    2.84582	    1.69588	    1.09024	    1.33983	    1.17235
63.00000	    2.84280	    1.69730	    1.09152	    1.33835	    1.17105
63.20000	    2.83980	    1.69871	    1.09279	    1.33688	    1.16977
63.40000	    2.83682	    1.70011	    1.09405	    1.33542	    1.16849
63.60000	    2.83386	    1.70150	    1.09531	    1.33396	    1.16722
63.80000	    2.83091	    1.70287	    1.09655	    1.33252	    1.16595
64.00000	    2.82798	    1.70424	    1.09779	    1.33109	    1.16470
64.20000	    2.82508	    1.70561	    1.09902	    1.32966	    1.16345
64.40000	    2.82218	    1.70696	    1.10024	    1.32824	    1.16221
64.60000	    2.81931	    1.70830	    1.10146	    1.32683	    1.16098
64.80000	    2.81646	    1.70963	    1.10267	    1.32544	    1.15976
65.00000	    2.81362	    1.71096	    1.10387	    1.32404	    1.15854
65.20000	    2.81080	    1.71227	    1.10506	    1.32266	    1.15733
65.40000	    2.80800	    1.71358	    1.10624	    1.32129	    1.15613
65.60000	    2.80521	    1.71487	    1.10742	    1.31992	    1.15493
65.80000	    2.80244	    1.71616	    1.10860	    1.31857	    1.15375
66.00000	    2.79969	    1.71744	    1.10976	    1.31722	    1.15256
66.20000	    2.79695	    1.71871	    1.11092	    1.31588	    1.15139
66.40000	    2.79424	    1.71998	    1.11207	    1.31454	    1.15023
66.60000	    2.79153	    1.72123	    1.11321	    1.31322	    1.14907
66.80000	    2.78885	    1.72247	    1.11435	    1.31190	    1.14791
67.00000	    2.78618	    1.72371	    1.11548	    1.31059	    1.14677
67.20000	    2.78352	    1.72494	    1.11660	    1.30929	    1.14563
67.40000	    2.78088	    1.72616	    1.11772	    1.30800	    1.14450
67.60000	    2.77826	    1.72738	    1.11883	    1.30671	    1.14337
67.80000	    2.77565	    1.72858	    1.11993	    1.30543	    1.14225
68.00000	    2.77306	    1.72978	    1.12103	    1.30416	    1.14114
68.20000	    2.77048	    1.73097	    1.12212	    1.30290	    1.14004
68.40000	    2.76792	    1.73215	    1.12321	    1.30164	    1.13894
68.60000	    2.76537	    1.73332	    1.12429	    1.30040	    1.13785
68.80000	    2.76284	    1.73449	    1.12536	    1.29916	    1.13676
69.00000	    2.76032	    1.73565	    1.12642	    1.29792	    1.13568
69.20000	    2.75782	    1.73680	    1.12748	    1.29669	    1.13461
69.40000	    2.75533	    1.73795	    1.12854	    1.29548	    1.13354
69.60000	    2.75286	    1.73908	    1.12958	    1.29426	    1.13248
69.80000	    2.75040	    1.74021	    1.13063	    1.29306	    1.13142
70.00000	    2.74795	    1.74134	    1.13166	    1.29186	    1.13038
70.20000	    2.74552	    1.74245	    1.13269	    1.29067	    1.12933
70.40000	    2.74311	    1.74356	    1.13372	    1.28948	    1.12830
70.60000	    2.74070	    1.74466	    1.13473	    1.28830	    1.12727
70.80000	    2.73831	    1.74576	    1.13575	    1.28713	    1.12624
71.00000	    2.73593	    1.74684	    1.13675	    1.28597	    1.12522
71.20000	    2.73357	    1.74792	    1.13775	    1.28481	    1.12421
71.40000	    2.73122	    1.74900	    1.13875	    1.28366	    1.12320
71.60000	    2.72889	    1.75007	    1.13974	    1.28251	    1.12220
71.80000	    2.72656	    1.75113	    1.14072	    1.28137	    1.12120
72.00000	    2.72425	    1.75218	    1.14170	    1.28024	    1.12021
72.20000	    2.72195	    1.75323	    1.14268	    1.27911	    1.11922
72.40000	    2.71967	    1.75427	    1.14364	    1.27799	    1.11824
