0.00000	    8.33333	    2.33333	    2.66667
32.40000	    3.49880	    1.18303	    1.12457	    1.45175	    1.65914
32.60000	    3.48955	    1.18841	    1.12771	    1.44779	    1.65461
32.80000	    3.48040	    1.19373	    1.13080	    1.44386	    1.65013
33.00000	    3.47133	    1.19900	    1.13385	    1.43998	    1.64569
33.20000	    3.46237	    1.20421	    1.13685	    1.43613	    1.64129
33.40000	    3.45349	    1.20937	    1.13982	    1.43232	    1.63694
33.60000	    3.44470	    1.21448	    1.14274	    1.42856	    1.63264
33.80000	    3.43601	    1.21953	    1.14562	    1.42483	    1.62838
34.00000	    3.42740	    1.22453	    1.14847	    1.42114	    1.62416
34.20000	    3.41888	    1.22948	    1.15127	    1.41749	    1.61998
34.40000	    3.41044	    1.23437	    1.15404	    1.41387	    1.61585
34.60000	    3.40209	    1.23922	    1.15677	    1.41029	    1.61176
34.80000	    3.39383	    1.24402	    1.15947	    1.40675	    1.60771
35.00000	    3.38564	    1.24877	    1.16212	    1.40324	    1.60370
35.20000	    3.37754	    1.25347	    1.16475	    1.39977	    1.59973
35.40000	    3.36952	    1.25812	    1.16734	    1.39633	    1.59580
35.60000	    3.36158	    1.26273	    1.16989	    1.39292	    1.59191
35.80000	    3.35371	    1.26729	    1.17241	    1.38955	    1.58806
36.00000	    3.34593	    1.27180	    1.17490	    1.38621	    1.58424
36.20000	    3.33822	    1.27627	    1.17735	    1.38291	    1.58047
36.40000	    3.33059	    1.28070	    1.17977	    1.37964	    1.57673
36.60000	    3.32303	    1.28508	    1.18216	    1.37640	    1.57302
36.80000	    3.31554	    1.28942	    1.18452	    1.37319	    1.56936
37.00000	    3.30813	    1.29371	    1.18685	    1.37001	    1.56572
37.20000	    3.30079	    1.29796	    1.18915	    1.36686	    1.56213
37.40000	    3.29352	    1.30217	    1.19142	    1.36374	    1.55857
37.60000	    3.28632	    1.30634	    1.19367	    1.36066	    1.55504
37.80000	    3.27918	    1.31047	    1.19588	    1.35760	    1.55154
38.00000	    3.27212	    1.31456	    1.19806	    1.35457	    1.54808
38.20000	    3.26512	    1.31861	    1.20022	    1.35157	    1.54465
38.40000	    3.25819	    1.32262	    1.20235	    1.34860	    1.54126
38.60000	    3.25133	    1.32659	    1.20446	    1.34566	    1.53790
38.80000	    3.24453	    1.33052	    1.20654	    1.34274	    1.53456
39.00000	    3.23779	    1.33442	    1.20859	    1.33986	    1.53126
39.20000	    3.23112	    1.33828	    1.21062	    1.33700	    1.52800
39.40000	    3.22451	    1.34210	    1.21262	    1.33416	    1.52476
39.60000	    3.21796	    1.34589	    1.21460	    1.33135	    1.52155
39.80000	    3.21147	    1.34964	    1.21655	    1.32857	    1.51837
40.00000	    3.20504	    1.35335	    1.21848	    1.32582	    1.51522
40.20000	    3.19867	    1.35703	    1.22039	    1.32309	    1.51210
40.40000	    3.19236	    1.36068	    1.22228	    1.32038	    1.50901
40.60000	    3.18611	    1.36429	    1.22414	    1.31770	    1.50594
40.80000	    3.17991	    1.36787	    1.22598	    1.31504	    1.50291
41.00000	    3.17377	    1.37142	    1.22780	    1.31241	    1.49990
41.20000	    3.16768	    1.37493	    1.22959	    1.30980	    1.49692
41.40000	    3.16165	    1.37841	    1.23137	    1.30722	    1.49396
41.60000	    3.15568	    1.38186	    1.23312	    1.30466	    1.49104
41.80000	    3.14976	    1.38528	    1.23486	    1.30212	    1.48814
42.00000	    3.14389	    1.38866	    1.23657	    1.29960	    1.48526
42.20000	    3.13807	    1.39202	    1.23826	    1.29711	    1.48241
42.40000	    3.13230	    1.39535	    1.23994	    1.29464	    1.47959
42.60000	    3.12659	    1.39864	    1.24159	    1.29219	    1.47679
